"","body.of.a.man.found.at.the.bus.stop.in.the.center.of.Chelyabinsk","sentiment"
"103","zlatoustovets teenager sold the car and informed the police about the theft","negative"
"104","lit tram at the stop in Zlatoust","negative"
"105","road construction in the region will be innovative on behalf of Boris Dubrovsky","negative"
"106","Woman and old child died in a fire in Magnitogorsk","positive"
"107","pochtigruzovikov burned in a fire in Chelyabinsk","negative"
"108","social stability in the region has grown seriously Boris Dubrovsky","negative"
"109","Boris Dubrovsky approved the region's ecology minister Yegor Kovalchuk","negative"
"110","Yuzhnouralets confessed to killing knife three friends","negative"
"111","retired from Chelyabinsk invented a way to protect against ticks","negative"
"112","in blizhayshielet tornadoes in Russia will be a systemic phenomenon","negative"
"113","the best ballet companies in Chelyabinsk Russia gathered at theater festival","negative"
"114","Lake in the southern Urals vypustyatmillionov fry","negative"
"115","Dubrovsky demanded from municipalities constant work on landscaping","negative"
"116","Janitor poluchilgoda colony for assembling pistols for shooting dogs","positive"
"117","Boris Dubrovsky requires fire officials create administrative barriers","negative"
"118","single Russian selects candidates in the primaries with Boris Dubrovsky","negative"
"119","the South Urals narkopolitseyskie detained dealers deadly synthetics","negative"
"120","Chelyabinsk subcompact driver fell into a coma after an accident with a tractor","negative"
"121","Hospital chief physician Kunashak charged with fraud","negative"
"122","and you're subscribed to email newsletter","negative"
"123","Dmitry Medvedev instructed to reduce the number of officials in the regions","positive"
"124","on the road in Kopejsk SUV knocked the child","negative"
"125","guy propavshiynedeli ago wanted in Chelyabinsk","negative"
"126","pa sitimenedzher Chelyabinsk Sergiy Davydov earned bolshemillionov","negative"
"127","on behalf of the amount of public debt reduced Dubrovsky namilliarda rubles","positive"
"128","The number of foreign workers in the southern Urals cut through economic displacement","negative"
"129","South Urals doh studying medical records woman hit by a car in Greece","positive"
"130","zaplatittysyach pharmacy for the fall of the metal grating on employee","negative"
"131","The prison doctor was sentenced for selling drugs to prisoners deodorant","negative"
"132","woman faces death sentence for newborn daughter from burns","positive"
"133","education system in Russia is recognized as one of the best in the world","negative"
"134","man shot himself with a gun sitting in a car","negative"
"135","year-old boy died choking on an apple","negative"
"136","dozen flew under the passing truck on the road has died","negative"
"137","traffic police made false statements at the time the rights of women exam","negative"
"138","eksrektora Trinity college accused of accepting bribes was sentenced CUOA probation","negative"
"139","Andrey Komarov extended house arrest namesyatsa","negative"
"140","large-scale fire in the gardens under Kyshtym almost spilled over into forest","negative"
"141","Chelyabinsk students go on spring student festival finale with musical oetv","negative"
"142","passenger injured taxi driver does not agree with the fare","negative"
"143","YUZHNOURALSKY Parisians distributed free chickens","negative"
"144","Family raises money for the treatment of resident Snezhinsk hit by a car in Greece","negative"
"145","police are looking for videos of a man threatened with a gun saleswoman pawnshop","negative"
"146","townspeople dropped the whole avenue of trees due aktsiitysyach Chelyabinsk","negative"
"147","Conchita Wurst after winning the Southern Urals come Austrian musical performer","negative"
"148","on the track under the SATCOM beaten and shot at three people","negative"
"149","Court assessed the death of a passenger under the wheels of a tram vtysyach","negative"
"150","Director of Chelyabinsk chamber theater became a teacher SUSU","negative"
"151","CSU in voryalpinisty stole diplomas new sample","negative"
"152","card safe playgrounds amount platform gis","negative"
"153","Volunteers will plant trees on the burned areas of the Chelyabinsk City boron","negative"
"154","Chelyabinsk company zaplatittysyach for injured child on the playground","positive"
"155","Chelyabinsk faces sentence for multiple sexual relationships with minors","negative"
"156","putrid corpse with changes found near a cemetery in Miass","negative"
"157","Chelyabinsk Zoo decorate household waste","negative"
"158","resident Troitsk mined buses in Sochi grozitgoda prison","negative"
"159","pupils tractor and metallurgist Americans scored at the World Cup","negative"
"160","severe Chelyabinsk smashed car parked in the playground","negative"
"161","Like every summer is getting closer","positive"
"162","for possession of a corpse on the balcony chelyabinets CUOA sentenced prison","negative"
"163","Kusa in a major fire destroyed nearly half the street","negative"
"164","Yuzhnouralets arrested for beating summer stepdaughter","negative"
"165","Now Online","negative"
"166","Austrian transvestite Conchita Wurst may prohibit entry to Russia","negative"
"167","suspected of stealing tractor detained spustyagoda","negative"
"168","Customs handed xix century Buddhist statues in the museum Troitsk","negative"
"169","medium temperature in the Chelyabinsk region will rise to","negative"
"170","spring of mercury rescuers eliminated Miass","negative"
"171","Channel Num award prizes for knowing the series Slave Izaura","negative"
"172","South Urals MPs invite youth of Crimea and Sevastopol attend CHVVAKUSH","negative"
"173","drowning child per kilometer drifted down the river because of the maelstrom","negative"
"174","the regional budget revenues increased by","negative"
"175","penalties for concealment introduce dual citizenship in Russia","negative"
"176","Chelyabinsk rescheduling repair outdoors enthusiasts","negative"
"177","Boris Dubrovsky ahead zarabotalmillionov rubles","negative"
"178","boleechelyabintsev bitten by ticks this week","negative"
"179","art airbase Shagol received a suspended sentence for crash bomber","negative"
"180","boy has fallen into sewer well zaplatyattysyach rubles","positive"
"181","Chelyabinsk summer hit avtoledi death pensioner","negative"
"182","municipal services will help chelyabintsev documents zaminut","negative"
"183","ck checks fatal crashes with hijacker and service tenner","negative"
"184","consequences of an accident with a motorcyclist died witnesses videotaped","negative"
"185","for the murder of a mother and daughter arrested summer migrant","negative"
"186","Snezhinsk resident knocked on holiday in Greece is in a coma","negative"
"187","Chelyabinsk started walking to the neighborhood park trolley","negative"
"188","year-old boy drowned in a lake after falling from a pontoon","negative"
"189","of Chelyabinsk will be judged for keeping a brothel for addicts","negative"
"190","bailiff suspected of receiving bribes meat","negative"
"191","tractor hockey fight with Yevgeny Kuznetsov at the World Cup","negative"
"192","working in Magnitogorsk drowned in a tank with soda","negative"
"193","Chelyabinsk residents beat and robbed a district police officer","negative"
"194","hijacker was killed in a crash hiding from the police","negative"
"195","Six plunged off the road has died under Chebarkul","negative"
"196","of accidents with motorcyclists killed witnesses videotaped","negative"
"197","police found a stash of heroin in an abandoned car near the house","negative"
"198","tomorrow in Chelyabinsk hot water shut off dates","negative"
"199","gazelle with passengers capsized on the road has died","negative"
"200","headless corpse of a woman found in apartment Kyshtym","negative"
"201","drunk man was burned in a car in the Chelyabinsk region","negative"
"202","Austrian transvestite won the Eurovision Song Contest","negative"
"203","ticket prices will reduce competition in the development of airports","negative"
"204","players from Chelyabinsk became vitsechempionami NHL","negative"
"205","and you're subscribed to email newsletter","negative"
"206","South Urals spotted krymchanina remains missing in the Islands","positive"
"207","otmetilimaya record fireworks in Chelyabinsk","negative"
"208","tourists disappeared during rafting Katav","negative"
"209","metallurgist and the tractor will play each other in the offseason","negative"
"210","year-old girl died in a fire in the absence of parents","negative"
"211","biker and pedestrian killed in road accident in Miass","negative"
"212","in the alley Russia in Sevastopol will tree Chelyabinsk region","negative"
"213","see the full version of the Chelyabinsk parade pobedymaya online first regional","negative"
"214","on a draft of the tractor and the CHL junior metallurgist vybralisvoih pupils","negative"
"215","Alexander Rosenbaum gave my name Cossack saber at a concert in Zlatoust","negative"
"216","in honor of the victory of motorists running Troitsk arranged to Berlin","positive"
"217","see now online first regional onlayntranslyatsiyu victory parade","negative"
"218","on the road in the area Kizilskoe police crashed into loshadeycheloveka killed","negative"
"219","in the Chelyabinsk region in motorcycle crashes and frets old boy died","negative"
"220","South Urals pilot made the first night ram","negative"
"221","See today's first regional site onlayntranslyatsiyu victory parade","negative"
"222","what to buy for the benefit of the customer - kurtkina","positive"
"223","SATKINSKIJj firm suspected fictitious burial WWII veterans","negative"
"224","Boris Dubrovsky congratulated yuzhnouraltsev smaya","negative"
"225","gibdd Chelyabinsk region will strengthen the holidays","negative"
"226","guide Chelyabinsk region congratulated veterans on Victory Day","negative"
"227","Chelyabinsk students staged in honor of the anniversary of the end of the blockade of Leningrad","negative"
"228","Chelyabinsk hokkeistylyubiteli play for the second ice rink in the NHL","negative"
"229","Chebarkul resident bear a child after a kidney transplant","negative"
"230","students press on the square in front of SUSU in honor of the great victory","negative"
"231","banners with portraits of Joseph Stalin was removed from the panels in the center of Chelyabinsk","negative"
"232","fisherman was killed by a rubber boat capsized","negative"
"233","Chelyabinsk comes the world famous fast food chain kfc","negative"
"234","man sent to prison for beating a pregnant minor","negative"
"235","crazy vybivshy footed glass cars and attacked voditelnits got on video","positive"
"236","boy stuck his head in the battery while playing with mom","positive"
"237","Schoolgirl hospitalized with a fractured skull after a crash in Chelyabinsk","negative"
"238","Vandals have written on the monument in Chelyabinsk swearing","negative"
"239","head of the region ordered assist chelyabintsev fell from a balcony in Turkey","negative"
"240","overcharging by taxi during a snowfall acquitted antimonopolschiki","positive"
"241","pensioner rescued from oblivion the banner of victory thrown in the trash","negative"
"242","Chelyabinsk will distribute St. George's ribbons kmaya","negative"
"243","semiuchastnitsy grandmother home from Chelyabinsk congratulated veterans smaya","negative"
"244","Russia plans to colonize the moon pa","negative"
"245","museum tanks and self-propelled Chelyabinsk will pass on the day of victory","negative"
"246","May Chelyabinsk see parade salute and regaled field kitchen billboard events","negative"
"247","man died in a fire at a garden Kopeisk","negative"
"248","Babi Yar last witnesses tell the truth about the terrible episode Islands on","negative"
"249","motorcyclist was killed ran over a pedestrian Kartaly","positive"
"250","what to buy for the benefit of the customer - Seeds","negative"
"251","development strategy of the Chelyabinsk region in Snezhinsk will develop nuclear medicine","negative"
"252","May public transport will operate in Chelyabinsk donochi","positive"
"253","Chelyabinsk vysadyattysyach trees and shrubs list of streets","negative"
"254","Chelyabinsk new banners with portraits of Joseph Stalin","negative"
"255","Magnitogorsk thieves dismantled car parts car right in someone else's garage","negative"
"256","the South Urals expect thunderstorms and hail","negative"
"257","Boris Dubrovsky demanded to restore order in the interaction between government and small business","negative"
"258","Chelyabinsk video looking intruders stabbed to death at the hospital passer","negative"
"259","Captain metallurgist face disqualification for failing to report to the team","positive"
"260","and you're subscribed to email newsletter","negative"
"261","Chelyabinsk foreign car was hit in the yard year-old boy","positive"
"262","foreign car knocks two mothers with strollers got on video","negative"
"263","FSB confiscated Collector boleemedaley the Second World","negative"
"264","May Chelyabinsk see parade salute and regaled field kitchen billboard events","positive"
"265","Chelyabinsk center will block for the victory","negative"
"266","May Chelyabinsk see parade salute and regaled field kitchen billboard events","negative"
"267","in honor of the victory in the live line up Kirovka figure","negative"
"268","kassirshagastrolersha left without revenue stores in several cities","negative"
"269","accused of fraud for trying to bribe zaplatitmilliona","negative"
"270","summer migrant suspect in the murder of a mother and daughter","negative"
"271","Court upheld pohititelyutonn margarine","negative"
"272","zoozaschitniki found seriously ill in a mobile zoo animals Magnitogorsk","negative"
"273","magnitogorets Woman accidentally shot of shotgun sent to prison","positive"
"274","medalist Olga Fatkulina plans to retire","negative"
"275","Two people were hospitalized with suspected encephalitis","negative"
"276","man hanged himself in a park in Chelyabinsk","negative"
"277","Russian duo reached the final of Eurovision","negative"
"278","saytpokazyvaet documentary trap for a group of alpha","negative"
"279","driver fled the accident scene sbivzhenschin with sidecars","negative"
"280","South Urals seven players will play at the World Cup","negative"
"281","first regional show victory parade in onlaynrezhime","negative"
"282","in Russia may ban chanson promotes prison romance","negative"
"283","man planted a foot on the pin rescuers videotaped","negative"
"284","Chelyabinsk airport will direct flight in Crimea","negative"
"285","fall of Chelyabinsk second floor balcony was the second for a Turkish hotel","negative"
"286","Chelyabinsk navigators made a video from the cockpit su during a parade rehearsal","positive"
"287","in the city pond Chrysostom severed pipe because of floods","negative"
"288","because of thunderstorms and hail","negative"
"289"," announced an emergency warning","negative"
"290","residents evacuated because of Kusa area flooding","negative"
"291","in the city pond Chrysostom severed pipe because of floods","negative"
"292","because of thunderstorms and hail","negative"
"293"," announced an emergency warning","negative"
"294","Boris Dubrovsky handed first pasportayuzhnouralskim students","negative"
"295","employee colony charged polucheniivzyatok","positive"
"296","suspect in the murder of former police chief Satka added another criminal charges","negative"
"297","Captain metallurgist Mozyakin not play at the World Cup","negative"
"298","threat of flooding of homes passed in ase","negative"
"299","chelyabinets was seriously injured after falling from a great height in Turkey","negative"
"300","Vladimir Putin banned swearing in movies and in books","negative"
"301","the day of victory bus stop work youth","negative"
"302","Chelyabinsk start disable hot water schedule","negative"
"303","goalkeeper and defender metallurgist named the best players of the KHL finals","negative"
"304","lawyer who killed a pensioner for apartments charged","negative"
"305","drunken fisherman drowned capsized boat","negative"
"306","year-old child drowned while swimming in the river under Chrysostom","negative"
"307","woman sent to compulsory work for theft and drunkenness children","positive"
"308","Kopeysk resident is suspected of murdering her husband and sister in the Ryazan region","negative"
"309","corpse of the baby thrown in the woods homeless woman","negative"
"310","what to buy for the benefit of the customer - yablokina","negative"
"311","on parade in Sevastopol perform delegation of the Chelyabinsk region","negative"
"312","disabilities have new ideas in the development strategy of the Chelyabinsk region","negative"
"313","young tourist drowned while rafting on the catamaran","negative"
"314","Chelyabinsk tourist died after falling from a meter cliff","negative"
"315","familiar with these places do not look for the answer in our forum","negative"
"316","A criminal investigation into the death of a baby in Miass","negative"
"317","cellular operators banned send smsspam","negative"
"318","yuzhnouraltsev obliged to report the purchase of cars and housing in the FTS","negative"
"319","yuzhnouraltsev threatens glide colony for trying to steal flags","negative"
"320","on magnesite plant in the Chelyabinsk region there was a fire","negative"
"321","situation in Ashe took over control of the deputy head of the Urals MOE","negative"
"322","animals found brutally murdered tourists in Ilmensky reserve","negative"
"323","Magnitogorsk cyclists preparing to hold a massive parade","negative"
"324","in bakalechelovek evacuated from a burning house","negative"
"325","communications company employees accused of fraud namilliona","positive"
"326","arrested two suspects in the desecration of graves in the cemetery near the Kopeisk","negative"
"327","Legionnaire three tractors and metallurgist called for the World Cup","negative"
"328","heating in Chelyabinsk will disable today","negative"
"329","Chelyabinsk residents complain about the beggars in the parks","negative"
"330","card safe playgrounds up in Chelyabinsk","negative"
"331","Mass Saturday in Chelyabinsk proydetmaya","negative"
"332","Airport Chelyabinsk additional flight to Sochi","negative"
"333","metallurgist returned MHL star Dmitry Mikhailov","negative"
"334","year-old girl shot in the air rifle Emanzhelinsk","negative"
"335","Asha recorded a decrease in water level","negative"
"336","witnesses videotaped the fire in the steel area","negative"
"337","man sentenced for attempted theft with mu namilliona","negative"
"338","prosecutors denied the growth of infant mortality in Satka district","negative"
"339","corpse of the baby found in the woods in Miass","neutral"
"340","students from plastovskogo area can take a job at microsoft","negative"
"341","two corpses recovered from the water in the Chelyabinsk region","negative"
"342","trolleybus appeared Chelyabinsk offers hands heart","negative"
"343","Asha because of the threat of flooding regime declared high alert","negative"
"344","Chelyabinsk produce thin film for home heating","negative"
"345","Chelyabinsk produce film for heating homes and sidewalks","negative"
"346","metallurgist Koshechkin goalkeeper refused to play at the World Cup","negative"
"347","minor suspected of stealing laptops from the store","negative"
"348","metallurgist drew back poster for Evgeni Malkin","negative"
"349","policewoman on foreign car collided with a motorcycle","negative"
"350","motorcyclist died in hospital after capsizing in a ditch","negative"
"351","fragment Ice Battle remodel in Chelyabinsk park","negative"
"352","Police arrested a suspect in the massacre of a woman Chebarkul","negative"
"353","pensioner was killed in a head-on collision on Highway m","negative"
"354","gazelle to death over a pedestrian under Argayash","negative"
"355","artillery shells alarmed enterprises in Magnitogorsk","negative"
"356","Chelyabinsk students staged a rally in honor of the victory","negative"
"357","FAS fined advertiser for erotica on banners","negative"
"358","World War II veterans receive cash benefits","negative"
"359","ATV crashed in the third shifter per night","negative"
"360","in the Chelyabinsk region in the forests bloomed snowdrops","negative"
"361","corpse of a woman with bruises found Chebarkul","negative"
"362","Three college students disappeared in the area Kasli","negative"
"363","foreign car overturned on a highway near Trinity has died","negative"
"364","the Southern Urals was a massive collection of birch sap","negative"
"365","man stayed in prison with a false diagnosis of HIV","negative"
"366","truck driver did not notice as knocked down a pensioner","negative"
"367","Chelyabinsk Museum opens on the roof","negative"
"368","May Day homeless resident reservoir met skiing","negative"
"369","Zlatoust deputy editor working with physicians contacted during the ascent","positive"
"370","prosecutors ordered the Ministry of Health to provide cancer patients pensioner drugs","negative"
"371","motorcyclist and milk truck collision in Chelyabinsk got on video","negative"
"372","pensioner died in a terrible fire at his dacha","negative"
"373","movement in the center of Chelyabinsk cover for relay race","negative"
"374","Eight pensioner crashed into a tree","negative"
"375","unknown oskvernilimogil under Kopeisk","negative"
"376","Chelyabinsk region saar marijuana dealers covered Kazakhstan","negative"
"377","Mozyakin and Koshechkin called in Russian team Zaripov injury prevented","negative"
"378","Chebarkul resident found a shell in my grandmother's barn","negative"
"379","tractor replenished Ruzicka and parted with Bondarev Kostitsyn Petrov","negative"
"380","in honor of the victory of the metallurgist Mike Keenan sang a glass of vodka on the table","negative"
"381","tractor officially confirmed care Valery Belousov","negative"
"382","in Cesme old boy hurt himself to death on the playground","negative"
"383","Kizilskoe area in the fourth day of looking old schoolgirl","negative"
"384","in settlement construction trailer burned Zalesye pogiblicheloveka","negative"
"385","South Urals two climbers killed in Himalayas","negative"
"386","Sergei Mozyakin expects to play in metallurgy to end career","negative"
"387","on KAMAZ with faulty brakes blew fret killed the driver and infant","negative"
"388","look at the site first regional broadcast of the May Day march","negative"
"389","Boris Dubrovsky smaya congratulated residents of Chelyabinsk region","negative"
"390","Boris Dubrovsky metallurgist confirmed glory-mountain hockey school","negative"
"391","President metallurgist Rashnikov won thanks to the team and fans","negative"
"392","Captain metallurgist named the most valuable player of the playoffs CHL","negative"
"393","metallurgist first won the Gagarin Cup","negative"
"394","Captain metallurgist named the most valuable player play","negative"
"395","leading holes made an offer after an unexpected street flashmob","negative"
"396","zhorik celebrate the fifth anniversary of tiger striped flight over Russia","negative"
"397","SMP Bank offers its customers to switch to alternative payment system","negative"
"398","boris capon visited rossiyakazahstan boxing match for a new song","positive"
"399","Driver lain in a ditch two days because of the inspectors have found forgotten lantern","negative"
"400","tractor sent their fans to support the metallurgist","negative"
"401","competition for the most attentive reader","negative"
"402","South Urals is preparing actively promote their products in the foreign market","negative"
"403","happy yourself schitayutrossiyan","negative"
"404","Svetlana Shcherbakova house without registering prozhivalicheloveka","negative"
"405","bolshezhiteley Crimea and Sevastopol","negative"
"406"," appealed to the South Urals registry office","negative"
"407","metallurgist victory in the Gagarin Cup predict bookies","negative"
"408","kindergarten for meerkat zoo opened in Chelyabinsk","negative"
"409","thousands chelyabintsev preparing for the May Day march","negative"
"410","tractor parted with pupil Stanislav finishing","negative"
"411","in Chelyabinsk on a holiday weekend traffic change","negative"
"412","Chelyabinsk show the drama of the fall of the meteorite","negative"
"413","zoozaschitniki rescued dog lost during a blizzard","negative"
"414","Troitsk old man jumped from the third floor","negative"
"415","convicted chapter Kasli district officially dismissed","negative"
"416","Rescuers removed suicide with power lines","negative"
"417","motorists videotaped minibus leaped at the stoplight","negative"
"418","firefighters celebrate professional holiday parade art","negative"
"419","body of a man found on the track m","negative"
"420","zlatoustovets rescued stray dog ​​poisoned with rat poison","negative"
"421","Chelyabinsk Region Government is drafting a large agglomeration Chelyabinsk","negative"
"422","hotel Taganay sold zamillionov rubles","negative"
"423","Chelyabinsk debited smp bankamilliona rubles","positive"
"424","the exposure of the Olympic Park will present at the morning forum","negative"
"425","Dubrovsky thoroughly instructed to plan roads in new housing estates Chelyabinsk","negative"
"426","May Holidays South Urals go to weekend tours","positive"
"427","arsonists prosecutors have found materials with Nazi symbols and weapons","neutral"
"428","after snowfall rescuers had to pull out of the ditch tractor Uvildy Lake","negative"
"429","business fm radio Chelyabinsk recognized as the best in Russia","negative"
"430","Yuri of silver could not appeal against the extension of the arrest because of new episodes","negative"
"431","three popular restaurant close to the center of Chelyabinsk","negative"
"432","chelyabintsev have forced business to take credit hostage sent to court","negative"
"433","schoolgirl of Red Army area bitten monkey","positive"
"434","in the center of Chelyabinsk is limited because of the movement of trams crash","negative"
"435","and you're subscribed to email newsletter","negative"
"436","Evgeni Malkin drew a poster in support of the metallurgist","negative"
"437","arrested a suspect in the arson juvenile prosecutor","negative"
"438","smaya in Chelyabinsk will kursirovatsadovyh bus schedule routes","negative"
"439","Yuzhnouralsk year killed a passer-torn roof in the snow","negative"
"440","teenager fell from the roof storey house in Magnitogorsk","negative"
"441","metallurgist opened ticket sales to the decisive final match","negative"
"442","Today is the first in this year's solar eclipse","negative"
"443","Chelyabinsk region imposes restrictions on fishing","negative"
"444","chelyabintsev again unavailable for cashless cards visa and mastercard SMP Bank","negative"
"445","Grisha camel head the procession namayalis in Chelyabinsk","negative"
"446","gardeners Essential skidkuna trains","negative"
"447","brawl head coach metallurgist with the judges will consider the KHL","negative"
"448","Zlatoust scammers cheat pensioners sounding energetikami","negative"
"449","head coach metallurgist arranged brawl with judges","negative"
"450","metallurgist and the lion will determine the champion in Magnitogorsk","negative"
"451","metallurgist and the lion will determine the champion in Magnitogorsk","positive"
"452","Chelyabinsk month closed traffic on the street enthusiast","negative"
"453","chelyabinka called Putin became assistant municipal inspector","negative"
"454","Chelyabinsk public transportation goes to work as usual","negative"
"455","Magnitogorsk Metallurgical prepared to meet with the Gagarin Cup","negative"
"456","of Chelyabinsk will be judged for fictitious propiskumigrantov","negative"
"457","stealing donations for cancer patient child got on video","negative"
"458","residents of Chelyabinsk region may suffer from icicles","negative"
"459","heroin in candy wrappers from spreading in Magnitogorsk","positive"
"460","road traffic police revealed that threatens flooding list of places","negative"
"461","Firefighters rescued in snow and hunters month old baby boy with summer","negative"
"462","Regional is the first snowfall in April Photos","negative"
"463","mother and child found in the ditch were victims of snowfall","negative"
"464","woman with a year-old son found dead in a ditch","negative"
"465","because of bad weather in Chelyabinsk will adjust bus routes to Radonitsa","negative"
"466","Andrey Komarov suspected of fraud namilliarda","negative"
"467","Court arrested one of the suspects in the arson prosecutors","negative"
"468","for dog bite girls on the street prosecutors trebuettysyach","negative"
"469","migrant workers in the enterprise could poison gas","negative"
"470","Three fishermen were stuck on an island in Lake Irtyash","negative"
"471","administration announces the cleaning of streets Chelyabinsk Snowplows","negative"
"472","teen arrested for arson apartment after the attack on his friend","negative"
